Frumpies,Logged In,Anabelle,F,0,Simpson,134.47791,free,PhiladelphiaCamdenWilmington PANJDEMD,PUT,NextSong,1541044398796.0,455,Fuck Kitty,200,1541903636796,Mozilla50 Macintosh Intel Mac OS X 10_9_4 AppleWebKit53736 KHTML like Gecko Chrome3601985125 Safari53736,69
Kenny G with Peabo Bryson,Logged In,Anabelle,F,1,Simpson,264.75057,free,PhiladelphiaCamdenWilmington PANJDEMD,PUT,NextSong,1541044398796.0,455,By The Time This Night Is Over,200,1541903770796,Mozilla50 Macintosh Intel Mac OS X 10_9_4 AppleWebKit53736 KHTML like Gecko Chrome3601985125 Safari53736,69
Biffy Clyro,Logged In,Anabelle,F,2,Simpson,189.83138,free,PhiladelphiaCamdenWilmington PANJDEMD,PUT,NextSong,1541044398796.0,455,God  Satan,200,1541904034796,Mozilla50 Macintosh Intel Mac OS X 10_9_4 AppleWebKit53736 KHTML like Gecko Chrome3601985125 Safari53736,69
None,Logged In,Lily,F,0,Burns,,free,New YorkNewarkJersey City NYNJPA,GET,Home,1540621059796.0,456,None,200,1541910841796,Mozilla50 Windows NT 61 WOW64 AppleWebKit53736 KHTML like Gecko Chrome3601985125 Safari53736,32
HIM,Logged In,Lily,F,1,Burns,212.06159,free,New YorkNewarkJersey City NYNJPA,PUT,NextSong,1540621059796.0,456,Beautiful,200,1541910973796,Mozilla50 Windows NT 61 WOW64 AppleWebKit53736 KHTML like Gecko Chrome3601985125 Safari53736,32
Matmos,Logged In,Joseph,M,0,Gutierrez,1449.11628,free,Columbia SC,PUT,NextSong,1540809335796.0,284,Supreme Balloon,200,1541911006796,Mozilla50 Macintosh Intel Mac OS X 10_9_3 AppleWebKit5377514 KHTML like Gecko Version703 Safari5377514,75
Gary Allan,Logged In,Ryann,F,0,Smith,259.83955,free,Palestine TX,PUT,NextSong,1540685147796.0,328,The One,200,1541930188796,Mozilla50 Macintosh Intel Mac OS X 109 rv310 Gecko20100101 Firefox310,92
Miracle Fortress,Logged In,Ryann,F,1,Smith,200.9073,free,Palestine TX,PUT,NextSong,1540685147796.0,328,Five Roses,200,1541930447796,Mozilla50 Macintosh Intel Mac OS X 109 rv310 Gecko20100101 Firefox310,92
Don Omar,Logged In,Ryann,F,2,Smith,261.35465,free,Palestine TX,PUT,NextSong,1540685147796.0,328,Cuentale,200,1541930647796,Mozilla50 Macintosh Intel Mac OS X 109 rv310 Gecko20100101 Firefox310,92
JayZ,Logged In,Ryann,F,3,Smith,212.27057,free,Palestine TX,PUT,NextSong,1540685147796.0,328,DEvils,200,1541930908796,Mozilla50 Macintosh Intel Mac OS X 109 rv310 Gecko20100101 Firefox310,92
Red Hot Chili Peppers,Logged In,Ryann,F,4,Smith,231.33995,free,Palestine TX,PUT,NextSong,1540685147796.0,328,Easily Album Version,200,1541931120796,Mozilla50 Macintosh Intel Mac OS X 109 rv310 Gecko20100101 Firefox310,92
None,Logged In,Chloe,F,0,Cuevas,,free,San FranciscoOaklandHayward CA,GET,Home,1540940782796.0,437,None,200,1541932052796,Mozilla50 Windows NT 51 rv310 Gecko20100101 Firefox310,49
Flogging Molly,Logged In,Chloe,F,1,Cuevas,361.9522,free,San FranciscoOaklandHayward CA,PUT,NextSong,1540940782796.0,437,Rebels of the Sacred Heart,200,1541932063796,Mozilla50 Windows NT 51 rv310 Gecko20100101 Firefox310,49
Reverend Horton Heat,Logged In,Chloe,F,2,Cuevas,158.64118,free,San FranciscoOaklandHayward CA,PUT,NextSong,1540940782796.0,437,Now_ Right Now,200,1541932424796,Mozilla50 Windows NT 51 rv310 Gecko20100101 Firefox310,49
Sea Wolf,Logged In,Chloe,F,3,Cuevas,232.61995,free,San FranciscoOaklandHayward CA,PUT,NextSong,1540940782796.0,437,I Made A Resolution,200,1541932582796,Mozilla50 Windows NT 51 rv310 Gecko20100101 Firefox310,49
